store,군구,address,phone
왕십리역점,성동구,"성동구 왕십리광장로 17 (행당동 168-151 ), 비트플렉스몰 3층",02-2200-1303
홍대출판사거리점,마포구,"서울시 마포구 독막로7길 40, 1층",02-332-3567
수유사거리점,강북구,서울시 강북구 도봉로 82길 11 (2~4층),070-5226-1999
전경련회관점,영등포구,서울시 영등포구 여의도동 28-1 전경련신축회관 B109-11,02-786-3485
신월사거리점,양천구,"가로공원로 113, 1층",02-2606-5040
커피클럽 선릉역점,강남구,서울특별시 강남구 테헤란로 325 1층,02-6196-7935
서초마제스타시티점,서초구,"서초대로38길 12, 1층",02-6411-0063
종로5가점,종로구,동호로 401,02-2266-1989
난곡사거리점,관악구,서울시 관악구 신림동 526-13,02-865-0012
종로DGB점,중구,서울시 중구 다동85 다동빌딩 1층,02-310-9315
여의도파이낸스타워점,영등포구,서울특별시 영등포구 국제금융로 2길 32,02-761-3154
커피클럽 센터포인트점,종로구,종로구 새문안로5길 31 센터포인트 광화문빌딩 1F,02-6031-6213
서울대병원점,종로구,종로구 대학로 101 서울대학교병원 본관 1F,02-741-5815
구로디지털 뉴스테이점,영등포구,"시흥대로 595, 105호",070-7547-4100
홍대입구역점,마포구,서울시 마포구 양화로 151 1층,02-322-3584
용산리첸시아점,용산구,"서울시 용산구 백범로341, 용산리첸시아 118호,119호",02-6012-6596
커피클럽 역삼테헤란점,강남구,서울 강남구 테헤란로 131 한국지식센터 1층 ,02-501-3573
신사역사거리점,강남구,"서울특별시 강남구 강남대로 600 동신빌딩 1,2층",02-511-5340
응암역점,은평구,증산로 475 2층,02-3152-2910
용산아이파크몰 영풍문고점,용산구,한강대로 23길 55 용산아이파크몰 리빙관 3층 영풍문고 내,070-8835-5073
을지로입구점,중구,서울시 중구 을지로2가 199-44,02-318-6381
백석예술대학교점,서초구,방배동 981-17,
양재역1호점,서초구,서울시 서초구 양재동 13-11,02-578-6630
이대점,서대문구,"서울시 서대문구 이화여대길 59, 엘큐브 3층",02-392-1008
목동예술인회관점,양천구,"목동서로 225(목동, 예술인회관) 1층",02-2655-1300
당고개역점,노원구,덕릉로 126길 11 (상계동) 1층,02-951-1029
커피클럽 역삼스타점,강남구,서울시 강남구 역삼동 736-56 1층 ,02-501-4142
구파발역점,은평구,"진관3로 11,(진관동, 은평뉴타운 힐데스하임) 주상복합 1,2층",02-359-1366
구산역점,은평구,서울시 은평구 연서로 135,02-351-3094
