지점,지점명,일시,평균기온(°C),최고기온(°C),최저기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),평균운량(1/10),합계 일조시간(hr),합계 일사량(MJ/m2),최심적설(cm)
90,속초,2000-01,-.4,9.9,-10.9,56,90.2,31.5,,,2.2,16.6,22.6,4.8,150,,32.8
90,속초,2000-02,-.1,9.2,-8.6,41,8.4,8.3,,,2.9,9.8,13,2.5,225.7,,13.8
90,속초,2000-03,6.9,18.5,-4.2,45,8.7,4.9,,,3.6,11.5,13.6,4.1,206.3,,.4
90,속초,2000-04,11.2,24.1,2.4,55,23.4,9.5,3.8,1.1,3.9,14.5,26.8,5,200.9,,
90,속초,2000-05,14.3,30.5,6.2,79,71,21.1,7,3,2.6,9.7,14.9,6.4,156.8,,
90,속초,2000-06,19.2,33.3,9.7,78,175.7,49.2,10.7,4,2.3,7.9,10.9,6.2,202.5,,
90,속초,2000-07,24.8,33.6,17,74,109.2,60.5,8.8,2.5,2.4,11.5,19,6.6,198.3,,
90,속초,2000-08,24,33.7,17.9,83,440.3,93.3,26.7,16,1.9,12.7,17.3,7.2,139.3,,
90,속초,2000-09,18.6,32,11.2,79,347.2,66.9,18,9.5,2.6,11,19.5,6.4,155.9,,
90,속초,2000-10,14.5,23,5.1,65,7,5.5,1.5,.4,2.2,8.5,12.3,5.1,165.4,,
90,속초,2000-11,7.8,19.9,-2.1,53,58.3,35.1,,,2.6,9.5,15.3,4.2,155,,
90,속초,2000-12,3.2,14.5,-9.9,43,5.8,2.6,,,3,8.7,15.7,3.3,189.6,,
90,속초,2001-01,-2.3,6.2,-14.6,47,37.6,25,,,3.3,10.4,21,3.8,166.6,,9.2
90,속초,2001-02,1.2,16.2,-8.4,51,64.4,20.1,,,2.9,9.1,16.7,4.4,153.4,,27.4
90,속초,2001-03,5.6,19.9,-6,48,20.8,10.5,,,3.4,13,21.1,4,171.6,,11.3
90,속초,2001-04,12.3,25.2,1.2,51,14.1,11.2,1.6,.6,3,8.2,19.6,4.9,215.1,,
90,속초,2001-05,17.2,31.2,6.5,61,7.2,2.5,1.2,.6,2.9,8.7,22.4,5.7,209.3,,
90,속초,2001-06,20,34.2,12.9,75,126.6,41.2,14.5,4.7,2.1,13.8,17.3,7.5,132.7,,
90,속초,2001-07,23.4,31.3,15.7,77,233.3,99.1,18.6,5.5,1.7,5.7,11.3,6.9,169.2,,
90,속초,2001-08,22.4,30.9,14.6,80,56.9,21.5,12.5,5.8,1.5,9.2,13.1,6.1,185.9,,
90,속초,2001-09,20,29.3,9.6,71,311.5,73.7,24.7,10.2,2.1,10.5,16.6,6.1,154.5,,
90,속초,2001-10,15.9,24.9,7.6,70,234.9,80.4,24.8,7.5,1.6,10.1,19.8,5.2,124.1,,
90,속초,2001-11,8.8,20.2,-2.8,44,36.7,35.2,,,2.1,9.1,15.1,2.6,185.2,,
90,속초,2001-12,1.4,10.1,-6.6,36,20.2,15.5,,,2.5,10.4,20.9,3.5,188,,23
90,속초,2002-01,.8,15.8,-11,51,87.1,35.7,,,2.4,10,21.1,4.1,159.5,,4.3
90,속초,2002-02,4.2,14.2,-6.3,37,.6,.5,,,2,7,13.1,3.1,180.2,,
90,속초,2002-03,8.7,20.3,-1,47,14.1,6.9,,,1.9,7.1,11.6,4.2,187.2,,
90,속초,2002-04,12.2,29.6,2.5,54,58.5,27,7.5,2,2.7,11.3,18.7,4.3,222.8,,
90,속초,2002-05,15.6,28.4,4.8,69,78.2,34,11.5,6.5,2.3,8.1,11.2,5.2,214.6,,
90,속초,2002-06,19.5,33.1,11.9,73,66.5,20.5,10,8,2.3,9.6,14.6,5.5,213.2,,
90,속초,2002-07,21.9,36.6,17,83,301.4,92.5,45.5,15,2,8.1,12.9,7.9,105.2,,
90,속초,2002-08,22.7,34.6,15.6,81,531.2,295.5,45.5,10.5,2.1,12.7,27.7,7.9,104,,
90,속초,2002-09,19.1,34.1,12.1,77,225.9,120.5,59,18.5,1.9,11.5,21.7,5.5,158.2,,
90,속초,2002-10,13,24.5,.2,59,42.8,19,4,1,2.4,9.6,15.9,4.2,172.4,,
90,속초,2002-11,5.1,21,-3.5,42,4,1.5,,,3,10.6,20.1,3.1,189,,
90,속초,2002-12,1.2,17.6,-9.8,61,140,30.5,,,2.3,10.2,16.8,5,127.1,,27.2
90,속초,2003-01,-1.6,11.3,-14.8,49,34.7,12.5,,,2.6,10.9,19.8,3.3,171.3,,11
90,속초,2003-02,1.6,11.1,-9.8,66,63.6,26,,,2.1,8.7,15.3,5.7,124,,12
90,속초,2003-03,4.5,19.9,-7.3,65,56.8,21,,,2,9.6,13.4,6.1,149.9,,7.7
90,속초,2003-04,11,26.6,-.1,66,136.1,46,8,2,2.5,11.9,19.9,5.9,172.5,,
90,속초,2003-05,14.8,27.7,4.4,76,111.5,98,14,3,2.3,8.6,13.4,6.6,174.3,,
90,속초,2003-06,20.3,31.2,11.8,75,132.1,58,10,6,1.9,8.1,12.9,7,151.3,,
90,속초,2003-07,20.8,27.6,16.7,86,258,113.5,26,6.5,2.1,8.3,19.4,8.3,90.1,,
90,속초,2003-08,22.5,33.2,16.3,85,349.2,67.5,17.5,7,1.9,8,12.3,7.2,120,,
90,속초,2003-09,19.7,28.5,9.5,81,425.4,121,28.5,7.5,2.2,14.2,21.1,6.7,115.2,,
90,속초,2003-10,14.1,23,3.6,56,51.6,26,5.5,3.5,2.5,9.9,21,3.1,187.2,,
90,속초,2003-11,9.3,23.3,-2.9,68,278.2,52.5,,,2.9,12.4,18.2,5.8,107.5,,
90,속초,2003-12,2.9,12.8,-8.2,40,1.8,1.5,,0,3,12.9,22.3,2.3,207.8,,
90,속초,2004-01,.5,9.6,-15.6,40,25,16.5,,,3,17.3,27.1,2.6,206.8,,.4
90,속초,2004-02,3.6,19.1,-7.9,42,26.7,16.5,,,3.6,12.4,25.9,2.6,197.6,,1.5
90,속초,2004-03,6.9,22.9,-5.7,42,1.8,1.5,,,3.2,11.7,26.4,3.7,237.6,,2.3
90,속초,2004-04,12.7,29,2.4,53,104.4,48.5,9,2,3.2,12.4,26,4.3,228.2,,
90,속초,2004-05,16.7,29.2,7.7,67,46.7,21.5,4,3.5,2.4,12.3,18.8,5.4,204.7,,
90,속초,2004-06,20.8,31.3,12.7,74,99.7,51,14,4.5,2.2,9.7,15,6.3,191.8,,
90,속초,2004-07,23.9,37.1,17,83,554,241,69,17.5,2.2,8.5,17.7,7.5,128.8,,
90,속초,2004-08,23.1,34.3,16.1,81,460.3,134.5,27,8.5,2.1,12.9,20.3,6.9,151.4,,
90,속초,2004-09,20.1,30.5,13.4,77,200.1,86,20,12.5,2.2,11.7,18,6.2,161.3,,
90,속초,2004-10,14.8,25.1,6.6,60,16.9,16.5,5,1.5,2.5,8.6,13.8,3.5,201.9,,
90,속초,2004-11,10.6,20.1,1.5,54,39.5,11.5,,,2.4,11.4,24.4,3,184.2,,
90,속초,2004-12,4.2,17.8,-6.3,45,12.2,5,,,2.5,9.6,17.5,3.3,179.4,,2.5
90,속초,2005-01,-.1,9.8,-9.6,40,28.4,12.5,,,3.1,11.7,20.7,2.6,204.6,,7.3
90,속초,2005-02,-.8,7.3,-13.1,46,52.4,35,,,2.9,9.7,20.6,3.6,165.1,,2.2
90,속초,2005-03,4.2,18.1,-7.9,53,102.5,41.1,,,2.9,11.2,22.2,3.8,223.2,,55
90,속초,2005-04,12.8,32,.4,53,47.9,17.5,6.5,2,3.3,11,24.6,4.3,221.9,,
90,속초,2005-05,14.4,29.7,6,69,122.7,89.5,8,2.5,2.6,9,17.1,5,219.6,,
90,속초,2005-06,20.6,33.2,12.6,76,151.2,105,16.5,5.5,2.1,8.7,13.6,6.4,174.2,,
90,속초,2005-07,24,34.4,17.4,79,185.2,45,12,4,2,7.8,11.9,6.8,166.4,,
90,속초,2005-08,25,36,16.6,75,246.9,95,19.5,6,2.2,8,14.4,6.2,168,,
90,속초,2005-09,20,32.2,13.3,80,263.9,69,16,3.5,2.3,10.5,16.7,7,131,,
90,속초,2005-10,15,27.7,4.5,63,114.8,59.5,32,11.5,2.3,11.9,19.5,4.5,174.4,,
90,속초,2005-11,9.8,22.4,-.7,43,32.9,25,,,2.6,10.3,19.4,2.5,192.5,,
90,속초,2005-12,-1.4,11.6,-13.1,33,.4,.4,,,3,11.5,18.7,1.4,195.2,,.4
90,속초,2006-01,.2,8.3,-9.6,54,37.1,15.5,,,2.4,8.9,14.7,4.3,145,,8.3
90,속초,2006-02,1.5,16.1,-11.9,49,18.3,7.5,,,2.9,11.8,26.1,3.8,171,,6.1
90,속초,2006-03,6,18.9,-6.4,45,9.3,3.5,,,3.2,11.7,25.3,3.9,216.8,,5.1
90,속초,2006-04,9.5,25.6,1.9,63,90.2,40,11.5,3,3.1,12.2,21.3,6.1,137.9,,
90,속초,2006-05,14.4,29.8,3.8,72,141.7,76.5,14,4,2.4,7.6,15.2,6.4,154.9,,
